frame_idx,inference_time_ms,frame_time_ms,fps,gpu_util_percent,active_tracks,allow_action_count,deny_action_count
0,2379.75,2390.73,0.4,0,16,0,0
1,1851.29,1857.38,0.5,0,17,0,0
2,1276.24,1280.57,0.8,0,18,3,0
3,1193.36,1196.87,0.8,0,18,3,0
4,1202.74,1207.93,0.8,0,18,3,0
5,1184.92,1190.28,0.8,0,18,3,0
6,1140.34,1144.25,0.9,0,18,3,0
7,1263.69,1269.96,0.8,0,17,3,0
8,1488.18,1495.75,0.7,0,16,2,0
9,1466.68,1472.86,0.7,0,16,2,0
10,1181.35,1186.31,0.8,0,16,2,0
11,1209.06,1215.97,0.8,0,15,2,0
12,1144.34,1148.86,0.9,0,15,2,0
13,1164.25,1169.31,0.9,0,15,2,0
14,1159.13,1165.35,0.9,0,15,2,0
15,1265.94,1271.15,0.8,0,15,2,0
16,1690.95,1696.54,0.6,0,15,2,0
17,1154.75,1159.70,0.9,0,16,2,0
18,1180.28,1184.02,0.8,0,16,3,0
19,1203.61,1208.84,0.8,0,16,3,0
20,2210.11,2224.32,0.4,0,16,3,0
21,5111.73,5318.32,0.2,0,16,3,0
22,2027.61,2035.48,0.5,0,16,3,0
23,2208.55,2215.48,0.5,0,16,3,0
24,2542.99,2552.18,0.4,0,16,3,0
25,6794.76,6806.43,0.1,0,16,3,0
26,2042.96,2049.15,0.5,0,17,3,0
27,3159.99,3166.33,0.3,0,17,3,0
28,1858.58,1865.29,0.5,0,17,3,0
29,1427.89,1430.75,0.7,0,17,3,0
30,1157.49,1161.74,0.9,0,17,3,0
31,1249.88,1252.57,0.8,0,17,3,0
32,1248.88,1253.84,0.8,0,17,4,0
33,1339.13,1344.76,0.7,0,17,4,0
34,1331.09,1336.87,0.7,0,17,4,0
35,1186.82,1189.74,0.8,0,17,4,0
36,1114.94,1119.55,0.9,0,16,4,0
37,1616.89,1619.18,0.6,0,16,4,0
38,1063.46,1070.65,0.9,0,17,4,0
39,1031.04,1033.49,1.0,0,17,4,0
40,1049.74,1053.17,0.9,0,17,4,0
41,1024.39,1032.26,1.0,0,16,4,0
42,1048.76,1052.61,1.0,0,16,4,0
43,1049.59,1054.04,0.9,0,16,4,0
44,1053.44,1058.16,0.9,0,16,4,0
45,1052.84,1055.18,0.9,0,16,4,0
46,1053.66,1060.70,0.9,0,16,4,0
47,1035.51,1037.75,1.0,0,16,4,0
48,1014.28,1017.63,1.0,0,16,4,0
49,1004.60,1008.98,1.0,0,16,4,0
50,1478.44,1485.66,0.7,0,16,4,0
51,1001.24,1003.71,1.0,0,16,4,0
52,1016.07,1020.79,1.0,0,16,3,0
53,1001.67,1005.24,1.0,0,16,3,0
54,993.72,999.69,1.0,0,16,3,0
55,989.83,995.08,1.0,0,16,3,0
56,979.35,989.30,1.0,0,15,2,0
57,975.64,978.44,1.0,0,15,2,0
58,979.55,983.28,1.0,0,15,2,0
59,1031.66,1035.07,1.0,0,15,2,0
60,977.51,982.93,1.0,0,15,2,0
61,961.22,964.56,1.0,0,15,2,0
62,994.73,998.11,1.0,0,15,2,0
63,1614.73,1618.94,0.6,0,16,2,0
64,1038.03,1041.54,1.0,0,15,2,0
65,1056.69,1062.91,0.9,0,15,2,0
66,1056.95,1062.56,0.9,0,14,2,0
67,1050.70,1053.63,0.9,0,14,2,0
68,1108.41,1112.28,0.9,0,14,2,0
69,1076.12,1080.17,0.9,0,14,2,0
70,1123.08,1130.33,0.9,0,14,2,0
71,1000.76,1004.00,1.0,0,14,2,0
72,1207.97,1212.43,0.8,0,13,2,0
73,1083.92,1087.50,0.9,0,13,2,0
74,1080.59,1083.06,0.9,0,13,2,0
75,2334.29,2354.10,0.4,0,13,2,0
76,1286.02,1289.24,0.8,0,13,4,0
77,1755.56,1762.59,0.6,0,13,4,0
78,1319.15,1323.42,0.8,0,13,4,0
79,2099.87,2107.55,0.5,0,13,4,0
80,1417.40,1422.60,0.7,0,13,4,0
81,1506.93,1511.44,0.7,0,13,4,0
82,1046.84,1049.35,1.0,0,13,4,0
83,1567.46,1576.46,0.6,0,13,4,0
84,1043.63,1047.67,1.0,0,13,4,0
85,954.18,956.85,1.0,0,13,4,0
86,965.36,969.69,1.0,0,13,4,0
87,932.87,937.08,1.1,0,12,3,0
88,956.31,961.80,1.0,0,12,3,0
89,1058.86,1063.11,0.9,0,12,3,0
90,961.81,964.09,1.0,0,12,3,0
91,945.53,948.83,1.1,0,12,3,0
92,952.40,955.45,1.0,0,12,3,0
93,1070.58,1078.42,0.9,0,12,3,0
94,1088.78,1091.15,0.9,0,12,3,0
95,1311.78,1318.10,0.8,0,12,3,0
96,1011.68,1014.69,1.0,0,12,3,0
97,1005.04,1011.22,1.0,0,12,3,0
98,990.13,998.45,1.0,0,11,2,0
99,1053.28,1057.14,0.9,0,11,2,0
100,984.43,986.75,1.0,0,11,2,0
101,959.90,964.06,1.0,0,11,2,0
102,940.23,942.65,1.1,0,11,2,0
103,958.64,962.62,1.0,0,12,2,0
104,950.51,952.84,1.0,0,12,2,0
105,951.22,956.54,1.0,0,12,2,0
106,1358.96,1362.72,0.7,0,12,2,0
107,1093.91,1099.37,0.9,0,12,2,0
108,1041.91,1046.47,1.0,0,12,2,0
109,1008.07,1011.18,1.0,0,12,2,0
110,1022.33,1027.09,1.0,0,12,2,0
111,972.10,975.27,1.0,0,12,2,0
112,1021.58,1024.70,1.0,0,13,2,0
113,1024.78,1031.26,1.0,0,13,3,0
114,1114.99,1117.89,0.9,0,13,3,0
115,1044.15,1048.26,1.0,0,13,3,0
116,1072.83,1080.73,0.9,0,13,3,0
117,1253.44,1257.46,0.8,0,13,3,0
118,1450.52,1457.83,0.7,0,13,4,0
119,1021.44,1026.47,1.0,0,13,4,0
120,966.54,968.89,1.0,0,13,4,0
121,955.45,959.20,1.0,0,13,4,0
122,1040.00,1043.21,1.0,0,13,4,0
123,964.08,967.22,1.0,0,13,4,0
124,952.59,957.30,1.0,0,13,4,0
125,1113.54,1118.57,0.9,0,13,4,0
126,981.41,984.91,1.0,0,13,4,0
127,978.44,982.59,1.0,0,13,4,0
128,985.55,989.27,1.0,0,13,4,0
129,990.54,994.72,1.0,0,13,4,0
130,972.64,978.28,1.0,0,13,4,0
131,934.14,939.02,1.1,0,13,4,0
132,1371.98,1374.37,0.7,0,13,4,0
133,952.48,958.49,1.0,0,13,4,0
134,968.52,971.87,1.0,0,13,4,0
135,983.11,987.33,1.0,0,12,3,0
136,971.49,975.96,1.0,0,11,2,0
137,997.80,1000.84,1.0,0,11,2,0
138,1044.38,1048.39,1.0,0,10,2,0
139,1032.02,1035.33,1.0,0,10,2,0
140,1028.57,1031.83,1.0,0,10,2,0
141,1003.50,1006.09,1.0,0,11,2,0
142,1039.19,1042.65,1.0,0,11,2,0
143,1358.57,1362.19,0.7,0,11,2,0
144,1200.21,1203.71,0.8,0,11,2,0
145,1574.73,1578.59,0.6,0,11,2,0
146,1154.94,1158.80,0.9,0,11,2,0
147,1189.27,1194.60,0.8,0,11,2,0
148,1082.49,1086.19,0.9,0,11,2,0
149,1057.49,1062.50,0.9,0,11,2,0
150,1063.63,1068.09,0.9,0,11,2,0
151,1068.58,1073.28,0.9,0,11,3,0
152,1116.62,1120.17,0.9,0,11,3,0
153,1018.44,1022.80,1.0,0,10,3,0
154,1116.27,1120.91,0.9,0,10,3,0
155,1098.17,1101.48,0.9,0,11,3,0
156,990.08,993.49,1.0,0,11,3,0
157,1346.97,1350.34,0.7,0,11,3,0
158,1005.43,1008.87,1.0,0,11,3,0
159,972.77,977.12,1.0,0,11,3,0
160,973.67,977.18,1.0,0,12,3,0
161,971.92,974.57,1.0,0,12,3,0
162,955.33,957.89,1.0,0,12,3,0
163,976.41,981.53,1.0,0,12,3,0
164,1003.74,1007.04,1.0,0,12,3,0
165,967.23,971.19,1.0,0,12,3,0
166,966.25,975.95,1.0,0,11,3,0
167,976.04,979.90,1.0,0,10,3,0
168,955.14,960.50,1.0,0,10,3,0
169,973.86,977.55,1.0,0,10,3,0
170,993.03,996.17,1.0,0,10,3,0
171,1615.00,1621.44,0.6,0,10,3,0
172,1159.94,1170.90,0.9,0,10,3,0
173,1012.71,1014.94,1.0,0,10,3,0
174,1003.01,1006.50,1.0,0,11,3,0
175,3314.50,3319.13,0.3,0,11,4,0
176,1643.56,1647.21,0.6,0,11,4,0
177,1330.48,1333.15,0.8,0,11,4,0
178,1239.48,1247.22,0.8,0,11,3,0
179,1204.07,1207.68,0.8,0,11,3,0
180,1163.20,1166.86,0.9,0,11,3,0
181,1175.18,1184.08,0.8,0,10,2,0
182,1258.70,1263.52,0.8,0,9,2,0
183,1369.62,1373.21,0.7,0,10,2,0
184,1265.91,1269.51,0.8,0,10,2,0
185,1110.26,1113.55,0.9,0,10,2,0
186,1098.26,1103.32,0.9,0,10,2,0
187,1052.88,1056.38,0.9,0,10,2,0
188,1053.48,1056.87,0.9,0,10,2,0
189,1052.13,1056.00,0.9,0,9,2,0
190,1057.53,1061.63,0.9,0,9,2,0
191,1072.09,1075.28,0.9,0,9,2,0
192,1148.34,1153.03,0.9,0,10,2,0
193,1172.40,1177.41,0.8,0,10,2,0
194,1165.34,1168.64,0.9,0,10,2,0
195,1122.30,1127.67,0.9,0,10,2,0
196,1061.80,1064.14,0.9,0,10,2,0
197,1066.57,1070.72,0.9,0,10,2,0
198,1038.58,1042.02,1.0,0,10,2,0
199,1034.37,1039.66,1.0,0,10,2,0
200,1102.34,1106.85,0.9,0,10,3,0
201,1239.52,1243.80,0.8,0,9,3,0
202,1147.74,1152.29,0.9,0,9,3,0
203,1162.80,1168.28,0.9,0,9,3,0
204,2261.71,2266.53,0.4,0,10,3,0
205,1083.19,1087.12,0.9,0,10,3,0
206,1111.37,1113.79,0.9,0,10,3,0
207,1550.66,1555.37,0.6,0,10,3,0
208,978.67,980.84,1.0,0,10,3,0
209,1002.06,1006.25,1.0,0,12,3,0
210,998.61,1000.99,1.0,0,12,3,0
211,1021.29,1024.29,1.0,0,12,3,0
212,999.84,1003.01,1.0,0,13,3,0
213,969.15,971.62,1.0,0,13,3,0
214,1010.28,1013.58,1.0,0,14,3,0
215,977.95,983.30,1.0,0,14,3,0
216,1374.00,1378.72,0.7,0,14,3,0
217,1038.34,1042.22,1.0,0,14,3,0
218,1097.47,1101.64,0.9,0,11,2,0
219,936.39,939.80,1.1,0,10,2,0
220,1068.33,1071.66,0.9,0,10,2,0
221,971.90,976.81,1.0,0,8,2,0
222,978.80,982.52,1.0,0,9,2,0
223,1039.20,1044.77,1.0,0,9,2,0
224,1000.37,1007.06,1.0,0,9,2,0
225,1034.49,1037.16,1.0,0,9,2,0
226,1041.52,1048.01,1.0,0,9,2,0
227,1088.23,1091.51,0.9,0,9,2,0
228,1082.03,1085.95,0.9,0,8,2,0
229,1416.97,1420.89,0.7,0,9,2,0
230,1002.57,1006.95,1.0,0,9,3,0
231,984.01,989.19,1.0,0,9,3,0
232,951.56,954.65,1.0,0,9,3,0
233,963.14,966.31,1.0,0,12,3,0
234,950.28,952.63,1.0,0,13,3,0
235,989.03,992.39,1.0,0,13,3,0
236,970.45,973.80,1.0,0,13,3,0
237,973.52,976.81,1.0,0,13,3,0
238,969.91,975.31,1.0,0,13,3,0
239,949.15,958.50,1.0,0,12,3,0
240,957.46,962.03,1.0,0,11,2,0
241,1591.92,1595.69,0.6,0,11,2,0
242,1218.10,1228.94,0.8,0,11,2,0
243,2525.49,2534.01,0.4,0,11,2,0
244,1074.64,1082.23,0.9,0,11,2,0
245,1063.39,1068.94,0.9,0,11,2,0
246,1035.69,1040.23,1.0,0,11,2,0
247,1246.87,1258.20,0.8,0,11,2,0
248,1000.94,1004.03,1.0,0,11,2,0
249,971.84,977.81,1.0,0,11,2,0
250,969.49,974.45,1.0,0,11,2,0
251,998.97,1003.90,1.0,0,11,2,0
252,1043.70,1047.61,1.0,0,11,2,0
253,1085.69,1089.85,0.9,0,10,1,0
254,1054.10,1059.20,0.9,0,10,1,0
255,1505.46,1507.76,0.7,0,10,1,0
256,1100.95,1105.63,0.9,0,10,1,0
257,1089.09,1096.13,0.9,0,10,1,0
258,1092.47,1096.23,0.9,0,10,1,0
259,1081.76,1086.90,0.9,0,10,1,0
260,1194.54,1198.37,0.8,0,10,1,0
261,1169.45,1174.22,0.9,0,11,1,0
262,1144.66,1147.92,0.9,0,11,1,0
263,1020.63,1026.90,1.0,0,11,1,0
264,1000.77,1006.81,1.0,0,11,1,0
265,982.26,986.45,1.0,0,11,2,0
266,1086.74,1089.14,0.9,0,11,2,0
267,984.23,988.30,1.0,0,11,2,0
268,1396.40,1400.99,0.7,0,11,2,0
269,1061.00,1067.18,0.9,0,11,2,0
270,1175.94,1178.63,0.8,0,11,2,0
271,1079.31,1082.38,0.9,0,11,2,0
272,1032.22,1035.80,1.0,0,11,2,0
273,977.94,981.05,1.0,0,11,2,0
274,978.90,983.04,1.0,0,11,2,0
275,971.64,974.07,1.0,0,11,2,0
276,1009.41,1015.67,1.0,0,12,2,0
